,Mkt-RF,SMB,HML,RMW,CMA,RF
20190906,-0.02,-0.33,0.05,0.19,0.42,0.009
20190909,0.08,1.34,3.07,0.86,0.44,0.009
20190910,0.17,1.37,1.2,-0.06,0.6,0.009
20190911,0.88,1.37,-0.04,-0.2,0.33,0.009
20190912,0.22,-0.39,-0.17,-0.23,-0.12,0.009
20190913,-0.01,0.17,0.75,-0.06,-0.09,0.009
20190916,-0.23,0.91,0.5,-0.31,0.03,0.009
20190917,0.17,-0.8,-1.22,-0.2,-0.35,0.009
20190918,-0.05,-0.75,0.06,-0.11,0.1,0.009
20190919,-0.05,-0.48,-0.45,0.06,-0.12,0.009
20190920,-0.48,0.31,0.16,-0.56,0.03,0.009
20190923,-0.02,-0.12,0.51,0.25,0.31,0.009
20190924,-1.01,-0.76,0.02,0.19,0.5,0.009
20190925,0.69,0.41,0.53,0.46,0.05,0.009
20190926,-0.41,-0.98,0.12,0.33,0.34,0.009
20190927,-0.62,-0.18,0.88,0.23,0.6,0.009
20190930,0.5,-0.24,-0.48,0.64,0.0,0.009
20191001,-1.31,-0.66,-0.61,0.08,-0.17,0.007
20191002,-1.73,0.74,-0.35,-0.49,-0.24,0.007
20191003,0.8,-0.37,-0.91,-0.2,-0.22,0.007
20191004,1.39,-0.52,-0.09,0.01,0.06,0.007
20191007,-0.41,0.13,-0.02,-0.09,-0.31,0.007
20191008,-1.61,-0.16,-0.12,0.41,0.09,0.007
20191009,0.92,-0.56,-0.12,0.12,-0.15,0.007
20191010,0.59,-0.25,0.27,0.15,-0.08,0.007
20191011,1.23,0.6,0.19,0.44,0.22,0.007
20191014,-0.18,-0.34,-0.06,-0.21,-0.12,0.007
20191015,1.03,0.26,-0.23,-0.22,-0.71,0.007
20191016,-0.24,0.47,0.23,0.39,0.25,0.007
20191017,0.37,0.8,-0.28,0.13,-0.09,0.007
